molecule,receptor,subtype,is_validation,best_affinity,mw
LSD,5-HT1A_7E2Y,5-HT1A,False,-9.02,323.4
LSD,5-HT1B_4IAR,5-HT1B,False,-8.335,323.4
LSD,5-HT1D_7E32,5-HT1D,False,-7.393,323.4
LSD,5-HT1E_7E33,5-HT1E,False,-8.404,323.4
LSD,5-HT1F_7EXD,5-HT1F,False,-9.04,323.4
LSD,5-HT2A_7WC6,5-HT2A,False,-9.226,323.4
LSD,5-HT2B_4IB4,5-HT2B,False,-8.421,323.4
LSD,5-HT2C_6BQH,5-HT2C,False,-9.122,323.4
LSD,5-HT4_7XT8,5-HT4,False,-9.785,323.4
LSD,5-HT6_7XTC,5-HT6,False,-8.197,323.4
LSD,5-HT7_7XTA,5-HT7,False,-9.794,323.4
LSD,5-HT2A_6WHA,5-HT2A,True,-8.342,323.4
LSD,5-HT2B_5TUD,5-HT2B,True,-8.924,323.4
1P-LSD,5-HT1A_7E2Y,5-HT1A,False,-8.839,393.5
1P-LSD,5-HT1B_4IAR,5-HT1B,False,-9.548,393.5
1P-LSD,5-HT1D_7E32,5-HT1D,False,-6.764,393.5
1P-LSD,5-HT1E_7E33,5-HT1E,False,-8.727,393.5
1P-LSD,5-HT1F_7EXD,5-HT1F,False,-9.491,393.5
1P-LSD,5-HT2A_7WC6,5-HT2A,False,-10.032,393.5
1P-LSD,5-HT2B_4IB4,5-HT2B,False,-9.967,393.5
1P-LSD,5-HT2C_6BQH,5-HT2C,False,-9.709,393.5
1P-LSD,5-HT4_7XT8,5-HT4,False,-7.78,393.5
1P-LSD,5-HT6_7XTC,5-HT6,False,-8.802,393.5
1P-LSD,5-HT7_7XTA,5-HT7,False,-9.411,393.5
1P-LSD,5-HT2A_6WHA,5-HT2A,True,-8.935,393.5
1P-LSD,5-HT2B_5TUD,5-HT2B,True,-9.947,393.5
ALD-52,5-HT1A_7E2Y,5-HT1A,False,-8.621,365.4
ALD-52,5-HT1B_4IAR,5-HT1B,False,-9.533,365.4
ALD-52,5-HT1D_7E32,5-HT1D,False,-5.921,365.4
ALD-52,5-HT1E_7E33,5-HT1E,False,-8.628,365.4
ALD-52,5-HT1F_7EXD,5-HT1F,False,-8.902,365.4
ALD-52,5-HT2A_7WC6,5-HT2A,False,-10.487,365.4
ALD-52,5-HT2B_4IB4,5-HT2B,False,-8.554,365.4
ALD-52,5-HT2C_6BQH,5-HT2C,False,-9.394,365.4
ALD-52,5-HT4_7XT8,5-HT4,False,-9.741,365.4
ALD-52,5-HT6_7XTC,5-HT6,False,-8.263,365.4
ALD-52,5-HT7_7XTA,5-HT7,False,-8.483,365.4
ALD-52,5-HT2A_6WHA,5-HT2A,True,-8.794,365.4
ALD-52,5-HT2B_5TUD,5-HT2B,True,-8.931,365.4
ETH-LAD,5-HT1A_7E2Y,5-HT1A,False,-8.681,337.5
ETH-LAD,5-HT1B_4IAR,5-HT1B,False,-8.798,337.5
ETH-LAD,5-HT1D_7E32,5-HT1D,False,-7.508,337.5
ETH-LAD,5-HT1E_7E33,5-HT1E,False,-8.364,337.5
ETH-LAD,5-HT1F_7EXD,5-HT1F,False,-8.944,337.5
ETH-LAD,5-HT2A_7WC6,5-HT2A,False,-9.573,337.5
ETH-LAD,5-HT2B_4IB4,5-HT2B,False,-8.546,337.5
ETH-LAD,5-HT2C_6BQH,5-HT2C,False,-9.121,337.5
ETH-LAD,5-HT4_7XT8,5-HT4,False,-8.881,337.5
ETH-LAD,5-HT6_7XTC,5-HT6,False,-8.72,337.5
ETH-LAD,5-HT7_7XTA,5-HT7,False,-9.308,337.5
ETH-LAD,5-HT2A_6WHA,5-HT2A,True,-8.217,337.5
ETH-LAD,5-HT2B_5TUD,5-HT2B,True,-8.626,337.5
AL-LAD,5-HT1A_7E2Y,5-HT1A,False,-8.214,349.5
AL-LAD,5-HT1B_4IAR,5-HT1B,False,-9.263,349.5
AL-LAD,5-HT1D_7E32,5-HT1D,False,-8.049,349.5
AL-LAD,5-HT1E_7E33,5-HT1E,False,-8.371,349.5
AL-LAD,5-HT1F_7EXD,5-HT1F,False,-8.843,349.5
AL-LAD,5-HT2A_7WC6,5-HT2A,False,-9.518,349.5
AL-LAD,5-HT2B_4IB4,5-HT2B,False,-9.486,349.5
AL-LAD,5-HT2C_6BQH,5-HT2C,False,-9.142,349.5
AL-LAD,5-HT4_7XT8,5-HT4,False,-9.51,349.5
AL-LAD,5-HT6_7XTC,5-HT6,False,-8.268,349.5
AL-LAD,5-HT7_7XTA,5-HT7,False,-9.415,349.5
AL-LAD,5-HT2A_6WHA,5-HT2A,True,-8.109,349.5
AL-LAD,5-HT2B_5TUD,5-HT2B,True,-9.546,349.5
PRO-LAD,5-HT1A_7E2Y,5-HT1A,False,-8.614,351.5
PRO-LAD,5-HT1B_4IAR,5-HT1B,False,-9.175,351.5
PRO-LAD,5-HT1D_7E32,5-HT1D,False,-7.884,351.5
PRO-LAD,5-HT1E_7E33,5-HT1E,False,-9.016,351.5
PRO-LAD,5-HT1F_7EXD,5-HT1F,False,-9.529,351.5
PRO-LAD,5-HT2A_7WC6,5-HT2A,False,-9.558,351.5
PRO-LAD,5-HT2B_4IB4,5-HT2B,False,-8.626,351.5
PRO-LAD,5-HT2C_6BQH,5-HT2C,False,-8.672,351.5
PRO-LAD,5-HT4_7XT8,5-HT4,False,-7.93,351.5
PRO-LAD,5-HT6_7XTC,5-HT6,False,-8.385,351.5
PRO-LAD,5-HT7_7XTA,5-HT7,False,-10.032,351.5
PRO-LAD,5-HT2A_6WHA,5-HT2A,True,-7.976,351.5
PRO-LAD,5-HT2B_5TUD,5-HT2B,True,-9.024,351.5
Ergine,5-HT1A_7E2Y,5-HT1A,False,-8.912,267.3
Ergine,5-HT1B_4IAR,5-HT1B,False,-9.453,267.3
Ergine,5-HT1D_7E32,5-HT1D,False,-8.199,267.3
Ergine,5-HT1E_7E33,5-HT1E,False,-9.577,267.3
Ergine,5-HT1F_7EXD,5-HT1F,False,-8.703,267.3
Ergine,5-HT2A_7WC6,5-HT2A,False,-9.207,267.3
Ergine,5-HT2B_4IB4,5-HT2B,False,-8.933,267.3
Ergine,5-HT2C_6BQH,5-HT2C,False,-9.013,267.3
Ergine,5-HT4_7XT8,5-HT4,False,-9.125,267.3
Ergine,5-HT6_7XTC,5-HT6,False,-8.656,267.3
Ergine,5-HT7_7XTA,5-HT7,False,-9.415,267.3
Ergine,5-HT2A_6WHA,5-HT2A,True,-7.881,267.3
