common_name,category,CID,AtomStereoCount,BondStereoCount,Charge,Complexity,ConnectivitySMILES,CovalentUnitCount,ExactMass,HBondAcceptorCount,HBondDonorCount,HeavyAtomCount,IUPACName,InChI,InChIKey,MolecularFormula,MolecularWeight,MonoisotopicMass,RotatableBondCount,SMILES,TPSA,XLogP,sdf_file
Psilocybin,Tryptamine Psychedelics,10624,0,0,0,347,CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O,1,284.09259403,5,3,19,[3-[2-(dimethylamino)ethyl]-1H-indol-4-yl] dihydrogen phosphate,"InChI=1S/C12H17N2O4P/c1-14(2)7-6-9-8-13-10-4-3-5-11(12(9)10)18-19(15,16)17/h3-5,8,13H,6-7H2,1-2H3,(H2,15,16,17)",QVDSEJDULKLHCG-UHFFFAOYSA-N,C12H17N2O4P,284.25,284.09259403,5,CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O,85.8,-1.6,Psilocybin_10624.sdf
Psilocin,Tryptamine Psychedelics,4980,0,0,0,208,CN(C)CCC1=CNC2=C1C(=CC=C2)O,1,204.126263138,2,2,15,3-[2-(dimethylamino)ethyl]-1H-indol-4-ol,"InChI=1S/C12H16N2O/c1-14(2)7-6-9-8-13-10-4-3-5-11(15)12(9)10/h3-5,8,13,15H,6-7H2,1-2H3",SPCIYGNTAMCTRO-UHFFFAOYSA-N,C12H16N2O,204.27,204.126263138,3,CN(C)CCC1=CNC2=C1C(=CC=C2)O,39.3,2.1,Psilocin_4980.sdf
5-MeO-DMT,Tryptamine Psychedelics,1832,0,0,0,220,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,1,218.141913202,2,1,16,"2-(5-methoxy-1H-indol-3-yl)-N,N-dimethylethanamine","InChI=1S/C13H18N2O/c1-15(2)7-6-10-9-14-13-5-4-11(16-3)8-12(10)13/h4-5,8-9,14H,6-7H2,1-3H3",ZSTKHSQDNIGFLM-UHFFFAOYSA-N,C13H18N2O,218.29,218.141913202,4,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,28.3,1.5,5-MeO-DMT_1832.sdf
Bufotenin,Tryptamine Psychedelics,10257,0,0,0,208,CN(C)CCC1=CNC2=C1C=C(C=C2)O,1,204.126263138,2,2,15,3-[2-(dimethylamino)ethyl]-1H-indol-5-ol,"InChI=1S/C12H16N2O/c1-14(2)6-5-9-8-13-12-4-3-10(15)7-11(9)12/h3-4,7-8,13,15H,5-6H2,1-2H3",VTTONGPRPXSUTJ-UHFFFAOYSA-N,C12H16N2O,204.27,204.126263138,3,CN(C)CCC1=CNC2=C1C=C(C=C2)O,39.3,1.2,Bufotenin_10257.sdf
4-AcO-DMT,Tryptamine Psychedelics,15429212,0,0,0,294,CC(=O)OC1=CC=CC2=C1C(=CN2)CCN(C)C,1,246.136827821,3,1,18,[3-[2-(dimethylamino)ethyl]-1H-indol-4-yl] acetate,"InChI=1S/C14H18N2O2/c1-10(17)18-13-6-4-5-12-14(13)11(9-15-12)7-8-16(2)3/h4-6,9,15H,7-8H2,1-3H3",RTLRUOSYLFOFHV-UHFFFAOYSA-N,C14H18N2O2,246.30,246.136827821,5,CC(=O)OC1=CC=CC2=C1C(=CN2)CCN(C)C,45.3,2.1,4-AcO-DMT_15429212.sdf
4-HO-MET,Tryptamine Psychedelics,21786582,0,0,0,222,CCN(C)CCC1=CNC2=C1C(=CC=C2)O,1,218.141913202,2,2,16,3-[2-[ethyl(methyl)amino]ethyl]-1H-indol-4-ol,"InChI=1S/C13H18N2O/c1-3-15(2)8-7-10-9-14-11-5-4-6-12(16)13(10)11/h4-6,9,14,16H,3,7-8H2,1-2H3",ORWQBKPSGDRPPA-UHFFFAOYSA-N,C13H18N2O,218.29,218.141913202,4,CCN(C)CCC1=CNC2=C1C(=CC=C2)O,39.3,2.4,4-HO-MET_21786582.sdf
4-HO-MiPT,Tryptamine Psychedelics,10082683,0,0,0,244,CC(C)N(C)CCC1=CNC2=C1C(=CC=C2)O,1,232.157563266,2,2,17,3-[2-[methyl(propan-2-yl)amino]ethyl]-1H-indol-4-ol,"InChI=1S/C14H20N2O/c1-10(2)16(3)8-7-11-9-15-12-5-4-6-13(17)14(11)12/h4-6,9-10,15,17H,7-8H2,1-3H3",RXKGHZCQFXXWFQ-UHFFFAOYSA-N,C14H20N2O,232.32,232.157563266,4,CC(C)N(C)CCC1=CNC2=C1C(=CC=C2)O,39.3,2.8,4-HO-MiPT_10082683.sdf
4-HO-DiPT,Tryptamine Psychedelics,21854225,0,0,0,272,CC(C)N(CCC1=CNC2=C1C(=CC=C2)O)C(C)C,1,260.188863393,2,2,19,3-[2-[di(propan-2-yl)amino]ethyl]-1H-indol-4-ol,"InChI=1S/C16H24N2O/c1-11(2)18(12(3)4)9-8-13-10-17-14-6-5-7-15(19)16(13)14/h5-7,10-12,17,19H,8-9H2,1-4H3",KBRYKXCBGISXQV-UHFFFAOYSA-N,C16H24N2O,260.37,260.188863393,5,CC(C)N(CCC1=CNC2=C1C(=CC=C2)O)C(C)C,39.3,3.6,4-HO-DiPT_21854225.sdf
5-MeO-MiPT,Tryptamine Psychedelics,2763156,0,0,0,257,CC(C)N(C)CCC1=CNC2=C1C=C(C=C2)OC,1,246.173213330,2,1,18,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]-N-methylpropan-2-amine,"InChI=1S/C15H22N2O/c1-11(2)17(3)8-7-12-10-16-15-6-5-13(18-4)9-14(12)15/h5-6,9-11,16H,7-8H2,1-4H3",HEDOODBJFVUQMS-UHFFFAOYSA-N,C15H22N2O,246.35,246.173213330,5,CC(C)N(C)CCC1=CNC2=C1C=C(C=C2)OC,28.3,2.3,5-MeO-MiPT_2763156.sdf
5-MeO-DiPT,Tryptamine Psychedelics,151182,0,0,0,285,CC(C)N(CCC1=CNC2=C1C=C(C=C2)OC)C(C)C,1,274.204513457,2,1,20,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]-N-propan-2-ylpropan-2-amine,"InChI=1S/C17H26N2O/c1-12(2)19(13(3)4)9-8-14-11-18-17-7-6-15(20-5)10-16(14)17/h6-7,10-13,18H,8-9H2,1-5H3",DNBPMBJFRRVTSJ-UHFFFAOYSA-N,C17H26N2O,274.4,274.204513457,6,CC(C)N(CCC1=CNC2=C1C=C(C=C2)OC)C(C)C,28.3,3.1,5-MeO-DiPT_151182.sdf
